,clean_text
85,hague given up his pm ambition former conservative leader william hague says he will not stand for the leadership again having given up his ambition to be prime minister. mr hague told the daily telegraph he would now find a life dominated by politics too boring and unfulfilling. mr hague who stepped down after his party s election defeat does not rule out a return to the front bench. he also told the paper he hopes to remain mp for richmond north yorks and start a family with wife ffion. mr hague who recently had published the biography of william pitt the younger also said he wanted to continue writing books and speech-writing. he told the newspaper: i don t know whether i will ever go back on to the front but don t rush me. asked if he would stand for the leadership again mr hague replied: no. definitely not. his determination to stay away from a central role will disappoint some senior conservative members who say the party needs him. tim collins the shadow education secretary said last week it would be a huge boost to the party if mr hague returned to the front bench. mr hague became an mp at and leader of the opposition at . he said: i feel fortunate that by the age of i had crammed in an entire political career. i had been in the cabinet and been leader of the party so now i can branch out into other things...it is a very liberating feeling. mr hague added that he may have misjudged his own ambition to be prime minister. maybe i wasn t as driven by politics as i thought i was he said.
2083,schools to take part in mock poll record numbers of schools across the uk are to take part in a mock general election backed by the government. some schools have already signed up for the y vote mock elections run by the hansard society and aimed at boosting interest in politics. pupils in the schools taking part will learn the skills of speech writers canvassers and political candidates. schools minister stephen twigg said engaging young people s interest was essential to the future of democracy. he added: said young people who are engaged and motivated by the political process are essential to the future health of our democracy. the mock elections initiative provides an opportunity for pupils to develop their own understanding of how the democratic process works and why it matters. by experiencing the election process first hand - from running a campaign to the declaration of the final result - we hope that young people will develop the enthusiasm to take part in the future. the hansard society the electoral commission and the department for education and skills are running the programme. pupils will stand as party candidates speech writers and canvassers. michael raftery project manager at the hansard society said: the y vote mock elections for schools mirror the excitement and buzz of a real election raising awareness of citizenship and the benefits of active democracy. the mock votes will take place around may widely expected to be the date of the general election. information packs including ballot papers and manifesto guides with elections happening in early may were sent out to the schools invited to take part.
2198,asian banks halt dollar s slide the dollar regained some lost ground against most major currencies on wednesday after south korea and japan denied they were planning a sell-off. the dollar suffered its biggest one-day fall in four months on tuesday on fears that asian central banks were about to lower their reserves of dollars. japan is the biggest holder of dollar reserves in the world with south korea the fourth largest. the dollar was buying . yen at gmt .% stronger on the day. it also edged higher against both the euro and the pound with one euro worth $. and one pound buying $.. concerns over rising oil prices and the outlook for the dollar pushed down us stock markets on tuesday; the dow jones industrial average closed down .% while the nasdaq lost .%. the dollar s latest slide began after a south korean parliamentary report suggested the country which has about $ in foreign reserves had plans to boost holdings of currencies such as the australian and canadian dollar. on wednesday however south korea moved to steady the financial markets. it issued a statement that the bank of korea will not change the portfolio of currencies in its reserves due to short term market factors . japan too steadied nerves. a senior japanese finance ministry official told reuters we have no plans to change the composition of currency holdings in the foreign reserves and we are not thinking about expanding our euro holdings . japan has $ in foreign exchange reserves. at the start of the year the us currency which had lost % against the euro in the final three months of and had fallen to record lows staged something of a recovery. analysts however pointed to the dollar s inability recently to extend that rally despite positive economic and corporate data and highlighted the fact that many of the us s economic problems had not disappeared. the focus has been on the country s massive trade and budget deficits and analysts have predicted more dollar weakness to come.
1459,michael film signals retirement singer george michael has said that a new film about his life is the start of a retirement from public view. the pop star said it would be a much more behind the scenes affair and called his own genre of music dead . i thought i should explain myself before i disappear said michael who was at the berlin film festival to launch the documentary. the film a different story chronicles michael s life and career from the and his personal struggles. the -year-old chart-topper told reporters in the german capital that he wanted to move his career into a different form but added that he does not know what it is going to be yet. i m still going to be making music he said but added that he was not going to be around . he hinted at discontent with the current state of music industry and said: i don t really think that there is anyone in the modern pop business who i feel i want to spar with. michael said that the film directed by southan morris would put his two decades of fame into context. it s almost as much for me as for my fans in terms of trying to make sense of the last years and bring it to a close in a proper way he said. the documentary chronicles the highs and lows of his life in the public gaze from his meteoric rise as one half of pop duo wham! to his arrest for lewd conduct in a los angeles toilet in . the film also deals with the loss of michael s partner anselmo feleppa from an aids-related condition in . a different story which is being shown at the berlin film festival has been screened by bbc one.
365,sideways dominates spirit awards the comedy sideways has dominated this year s independent spirit awards winning all six of the awards for which it was nominated. it was named best film while alexander payne won best director and best screenplay along with writing partner jim taylor. it also won acting awards for stars paul giamatti thomas haden church and virginia madsen. sideways is tipped to do well at sunday s oscars with five nominations. the awards now in their year are given to films made outside the traditional studio system and are traditionally held the day before the oscars. other winners included catalina sandino moreno who took best actress for her role as a drug smuggler in the colombian drama maria full of grace. moreno is also nominated for best actress at the oscars. the best first screenplay award went to joshua marston for maria full of grace. scrubs star zach braff won the award for best first feature for garden state which he wrote directed and starred in. oscar-nominated euthanasia film the sea inside from spain won best foreign film while metallica: some kind of monster was awarded best documentary. actor rodrigo de la serna took the best debut performance prize for the motorcycle diaries. the awards are voted for by the members of the independent feature project/los angeles which includes actors directors writers and other industry professionals. last year s big winner lost in translation went on to win the oscar for best original screenplay for writer-director sofia coppola.
32,celebrities get their skates on former england footballer paul gascoigne will join eastenders actress scarlett johnson on bbc one s strictly ice dancing. the one-off christmas special will also star television presenter carol smillie and jessica taylor from liberty-x. each celebrity will be paired with a professional skater to impress a panel of judges and win the audience vote. the bbc is yet to confirm the final two stars who will battle it out to become ice king or queen. veteran presenter bruce forsyth and tess daly will host the programme which follows hot on the heels of the current saturday night series strictly come dancing. the celebrities will have to practise a stipulated ice dance and perform it at an ice rink with their partner. the judges will have % of the vote to decide who wins the contest with the ice rink audience making up the rest of the vote. the show forms part of the bbc s festive schedule. ice skating duo jayne torvill and christopher dean are to front a similar celebrity ice dance show for itv titled stars on thin ice. the contestants on stars on thin ice will each be paired up with a professional skater and will learn a new routine every week. at the end of the series one celebrity will be crowned the winner.
992,concern over rfid tags consumers are very concerned about the use of radio frequency id (rfid) tags in shops a survey says. more than half of people surveyed said they had privacy worries about the tags which can be used to monitor stock on shelves or in warehouses. some consumer groups have expressed concern that the tags could be used to monitor shoppers once they had left shops with their purchases. the survey showed that awareness of tags among consumers in europe was low. the survey of consumers in the uk france germany and the netherlands was carried out by consultancy group capgemini. the firm works on behalf of more than firms who are seeking to promote the growth of rfid technology. the tags are a combination of computer chip and antenna which can be read by a scanner - each item contains a unique identification number. more than half (%) of the respondents said they were either concerned or very concerned that rfid tags would allow businesses to track consumers via product purchases. fifty nine percent of people said they were worried that rfid tags would allow data to be used more freely by third parties. ard jan vetham capgemini s principal consultant on rfid said the survey showed that retailers needed to inform and educate people about rfid before it would become accepted technology. acceptance of new technologies always has a tipping point at which consumers believe that benefits outweigh concerns. with the right rfid approach and ongoing communication with consumers the industry can reach this point. he said that the survey also showed people would accept rfid if they felt that the technology could mean a reduction in car theft or faster recovery of stolen items. the tags are currently being used at one tesco distribution centre in the uk - the tags allow the rapid inventory of bulk items. they are also in use as a passcard for the toll in the midlands in the uk. mr vetham said the majority of people surveyed (%) believed that rfid tags could be read from a distance. he said that was a misconception based on a lack of awareness of the technology. at least once consumer group - consumers against supermarket privacy invasion and numbering (caspian) - has claimed that rfid chips could be used to secretly identify people and the things they are carrying or wearing. all kinds of personal belongings including clothes could constantly broadcast messages about their whereabouts and their owners it warned.
2147,charity single for quake relief singers including sir cliff richard and boy george are recording a charity single to help raise funds for victims of the asian tsunami. they hope the song will raise more than £ for the relief fund. the song titled grief never grows old and described as a melancholy ballad was written by radio dj mike read. former boyzone singer ronan keating may also take part if a studio can be found close to where he is holidaying in switzerland. other music stars being approached include robin and barry gibb of the bee gees jazz sensation jamie cullum chris rea and olivia newton-john. sir cliff has recorded his vocal part in barbados while boy george has recorded his in new york. read wrote the song before the boxing day tragedy but had thought it was too gloomy to release. now he plans to have it recorded by a collection of pop stars under the name one world project. it s a natural home for it because people kept saying to me it s such a good song but it s such a sad song read said. he said the song was a slow ballad and would work with around singers rather than a sing-along like the band aid single raising money for famine relief in africa. the backing track has already been recorded and organisers hope it can be finished within the next week to get it into record shops as soon as possible. read went to the disasters emergency committee (dec) which is co-ordinating the british relief effort with the idea the day after boxing day. i was totally shocked at the enormity and suddenness of the disaster and in tears on seeing the orphaned children wandering aimlessly in search of their parents he said. read said all the funds raised by the record would go to the dec. i d only be pleased in terms of what it meant for sales if it got to number one he added. the charity welcomed the news of the single and said money raised would help its agencies working in the affected region to rebuild survivors lives and livelihoods.
1591,gervais writing simpsons episode the office s ricky gervais is writing an episode of hit us cartoon the simpsons following an invitation from its creator matt groening. gervais has already begun writing the script but is keeping its subject matter a closely guarded secret. he will also write a part for himself in the episode. i ve got the rough idea but this is the most intimidating project of my career. the simpsons is the greatest tv show of all time he said. groening recently heaped praise on the office saying: everybody on the simpsons is a fan of the office - it s one of the best shows on tv in the last decade. gervais has already said he would not guest star in the show as his office character david having left him behind for good in the christmas specials. the office became a surprise us success when it was screened on cable channel bbc america. the first series won two golden globes in for best comedy and best tv actor for gervais. in winning it beat the likes of sex and the city and will and grace. an american version was produced but so far only a pilot has been broadcast - to much criticism that it failed to live up to the original. at the british comedy awards on wednesday gervais was handed a special achievement award for writing. but the office missed out in the best comedy show category to little britain. matt groening was also at the awards to collect the award for best international comedy for the simpsons.
1712,mps demand budget leak answers ministers have been asked to explain how budget details were printed in a london newspaper half an hour before gordon brown made his speech. the tories said a large chunk of the budget appeared to have been leaked in what they describe as a serious breach of treasury confidentiality . the lib dems called for commons leader peter hain to make a statement and said chancellors had resigned over leaks. they were told it would be brought to speaker michael martin s attention. in the commons tory frontbencher andrew tyrie mp demanded an immediate ministerial statement about how measures had been clearly or at least apparently leaked to the evening standard . raising a point of order he said it was the latest in a long line of discourtesies to this house as well as a breach of confidentiality. he said: i can only hope it is unintentional. if it were planned it would be a very grave matter indeed. a previous labour chancellor resigned after he leaked the budget. hugh dalton resigned after leaking details of his budget to journalist john carvel who published them in a london newspaper just minutes before they were announced to the house of commons. liberal democrat david laws said it was a very serious matter and said mr hain should make a statement on thursday. deputy speaker sylvia heal agreed it was of concern but said nothing could be done immediately but the issue would be brought to mr martin s attention.
1114,pop band busted to take a break chart-topping pop band busted have confirmed that they plan to take a break following rumours that they were on the verge of splitting. a statement from the band s record company universal said frontman charlie simpson planned to spend some time working with his other band fightstar. however they said that busted would reconvene in due course . the band have had eight top three hits including four number ones since they first hit the charts in . their singles include what i go to school for year crashed the wedding you said no and who s david the band which also includes members matt jay and james bourne made the top ten with their self-titled debut album as well as the follow-up a present for everyone in . they won best pop act and best breakthrough act at the brit awards and were nominated for best british group. most recently they topped the charts with the theme from the live-action film version of thunderbirds which was voted record of the year on the show. the band have capitalised on a craze for artists playing catchy pop music with rock overtones. the trio are seen as an alternative to more manufactured artists who are not considered credible musicians because they do not write their own songs or play their own instruments. however recent rumours have suggested that simpson has been wanting to quit the band to focus on fightstar. he now plans to take fightstar on tour.
2206,kennedy questions trust of blair lib dem leader charles kennedy has said voters now have a fundamental lack of trust of tony blair as prime minister. he said backing his party was not a wasted vote adding that with the lib dems what you see is what you get . he made his comments at the start of a day of appearances on channel five in a session on the wright stuff programme. questions from callers a studio audience and the show s presenter covered lib dem tax plans anti-terror laws and immigration. mr kennedy said during his nearly years in parliament he had seen prime ministers and party leaders come and go and knew the pitfalls of british politics. was when i was first elected as an mp - so tony blair michael howard and myself were all class of - and over that nearly quarter of a century the world has changed out of recognition he said. we don t actually hear the argument any longer: lib dems good people reasonable ideas but only if we thought they could win around here - it s a wasted vote . you don t hear that because the evidence of people s senses demonstrates that it isn t a wasted vote. but he said mr blair had lost the trust of the british people. there is a fundamental lack of trust in tony blair as prime minister and in his government he said. what we ve got to do as a party - what i ve got to do as a leader of this party - is to convey to people that what you see is what you get. mr kennedy also used his tv appearance to defend his party s plans to increase income tax to % for those earning more than £ saying it would apply to just % of the population. he said the extra revenue would allow his party to get rid of tuition and top-up fees introduce free personal care for the elderly and replace the council tax with a local income tax. mr blair has already spent a day with five and michael howard is booked for a similar session.
1064,queen recruit singer for new tour the remaining members of rock band queen are to go on tour next year with former free and bad company singer paul rodgers taking freddie mercury s place. guitarist brian may has said he expects to be on the road with rodgers and drummer roger taylor from april. may said: suddenly the queen phoenix is rising again from the ashes and will take precedence over... our lives. queen have played with many different singers since mercury s death in but have reportedly not toured. may performed with rodgers at a concert to celebrate the anniversary of the fender stratocaster guitar in london in september. we were both so amazed at the chemistry that was going on in [free hit] all right now that suddenly it seems blindingly obvious that there was something happening here may wrote on his website. they teamed up again for a concert to mark their induction into the uk music hall of fame and were joined by taylor. the show went so incredibly well from our point of view and we got so many rave reactions from out there we decided almost then and there that we would look at a tour together may wrote. queen went to number one in with a version of we will rock you sung by boy band and they have also played with robbie williams will young and bob geldof. queen bassist john deacon has currently retired from the stage. rodgers was singer with early rockers free who had a global hit with all right now before forming bad company a successful supergroup with members of king crimson and mott the hoople. he has also been in the firm with led zeppelin s jimmy page and the law with the small faces and the who drummer kenny jones.
970,church urges nelly show boycott church ministers are trying to prevent rapper nelly performing in arkansas saying they do not want his vile and filthy lyrics in their town. more than jonesboro ministers urged music fans to boycott nelly s march concert at arkansas state university in a bid to have it cancelled. jonesboro is a wonderful city because of what does not come here said the reverend adrian rodgers. but a venue spokesman said more than tickets had been sold so far. mr rodgers of the fullness of joy church said he was concerned about the rapper s lyrics that include references to drugs sex and violence and songs that the minister said were demeaning to women. ministers were worried that bringing such acts to jonesboro would lead to problems. tear the tickets up mr rodgers said. do not go and do not allow your children to go. tim dean director of the arkansas state university venue said ticket sales had been brisk. it would appear that with ticket sales over many others have expressed their right to find nelly s music entertaining and worth spending their time and money on he said. nelly has sold more than million singles and albums worldwide and in september simultaneously occupied the number one and two positions in the us albums chart. he has had uk hit singles including hot in herre dilemma and recent number one over and over.
249,keanu reeves given hollywood star actor keanu reeves best known for his role in the matrix movies has been awarded a star on the prestigious hollywood walk of fame. the -year-old attended the unveiling of the star with his mother patricia and thanked her for inspiring him to become an actor. when i was years old i asked my mom if it was ok to be an actor reeves said. she said: whatever you want . his star is the to be embedded in the pavement on hollywood boulevard. the actor who was born in the lebanese capital beirut also spoke of how he dropped out of school to pursue an acting career. hollywood was calling he said so i got in my car a british racing green volvo with holes in the floor and bricks holding up the seats. i was a young man full of hopes and dreams. reeves first found fame in the teen comedy bill and ted s excellent adventure and went on to combine such blockbusters as speed the devil s advocate and the matrix series with smaller films including my own private idaho. more recently he was seen in something s gotta give alongside jack nicholson and diane keaton. his next film the supernatural thriller constantine is released in the us later this month and opens in the uk in march.
